stationID,name,address,latitude,longitude,bonus,status,contract_name,bike_stands,available_bike_stands,available_bikes,last_update
262,PLACE DE LA PAIX/VREDEPLAIN,PLACE DE LA PAIX / VREDEPLAIN - PLACE DE LA PAIX FACE 24 / VREDEPLEIN VOOR 24,50.87693,4.400722,FALSE,OPEN,Bruxelles-Capitale,20,8,12,2018-03-03T17:38:00+00:00
126,FABRY,FABRY - BOULEVARD DE LA WOLUWE / WOLUWELAAN 28,50.837288,4.43462,FALSE,OPEN,Bruxelles-Capitale,25,11,14,2018-03-03T17:38:00+00:00
61,MAELBEEK / MAALBEEK,MAELBEEK/MAALBEEK - CHAUSSEE D'ETTERBEEK/ETTERBEEKSESTEENWEG 15,50.843836,4.378002,FALSE,OPEN,Bruxelles-Capitale,35,14,19,2018-03-03T17:38:06+00:00
161,DEMOLDER,DEMOLDER - AVENUE EUGENE DEMOLDER / EUGENE DEMOLDERLAAN 68,50.872592,4.379886,FALSE,OPEN,Bruxelles-Capitale,25,17,8,2018-03-03T17:38:13+00:00
163,CHAZAL/CHAZAL,CHAZAL - AVENUE ERNEST CAMBIER (FACE 7)/ ERNEST CAMBIERLAAN (TEGENOVER 7),50.859112,4.39157,FALSE,OPEN,Bruxelles-Capitale,25,19,6,2018-03-03T17:38:02+00:00
11,SABLON / ZAVEL,SABLON/ZAVEL - RUE DE LA REGENCE/REGENTSCHAPSSTRAAT 20,50.8405,4.356878,TRUE,OPEN,Bruxelles-Capitale,17,6,11,2018-03-03T17:35:50+00:00
1,LEOPOLD II,LEOPOLD II - AVENUE DE TERVUREN FACE / TERVURENLAAN VOOR 218,50.836304,4.41505,TRUE,OPEN,Bruxelles-Capitale,20,11,9,2018-03-03T17:36:28+00:00
198,SCHEUT,SCHEUT - CHEE DE NINOVE (FACE 441) / NINOOFSESTEENWEG (TEGENOVER 441),50.847649,4.307714,FALSE,OPEN,Bruxelles-Capitale,25,4,21,2018-03-03T17:36:05+00:00
15,MONTGOMERY,MONTGOMERY - AVENUE DE TERVUREN / TERVURENLAAN 136-138,50.837036,4.406826,FALSE,OPEN,Bruxelles-Capitale,25,13,12,2018-03-03T17:36:03+00:00
40,PORTE DE HAL / HALLEPOORT,PORTE DE HAL/HALLEPOORT - BOULEVARD DU MIDI/ZUIDLAAN 142,50.833931,4.343155,FALSE,OPEN,Bruxelles-Capitale,25,12,13,2018-03-03T17:36:03+00:00
153,SQUARE ARMAND STEURS,SQUARE ARMAND STEURS/ARMAND STEURSSQUARE - AVENUE PAUL DESCHANEL (FACE N?? 267 - 269) / PAUL DESCHANELLAAN (TEGENOVER 267 - 269),50.854128,4.378002,FALSE,OPEN,Bruxelles-Capitale,25,15,10,2018-03-03T17:36:01+00:00
274,CORHAY,CORAY - CHEE DE GAND DEVANT 579-587 GENTSESTEENWEG VOOR 579-587,50.86002,4.307502,FALSE,OPEN,Bruxelles-Capitale,25,13,12,2018-03-03T17:35:00+00:00
38,JEU DE BALLE / VOSSENPLEIN,JEU DE BALLE/VOSSENPLEIN - RUE BLAES/BLAESSTRAAT 135-141,50.837912,4.347421,FALSE,OPEN,Bruxelles-Capitale,19,17,2,2018-03-03T17:35:26+00:00
124,CHARLES GRAUX,CHARLES GRAUX - CHAUSSEE DE WATERLOO (DEVANT N?? 585 - 587)/ WATERLOOSESTEENWEG (N?? 585 - 587),50.818283,4.363568,TRUE,OPEN,Bruxelles-Capitale,25,21,4,2018-03-03T17:35:28+00:00
150,MEISER/MEISER,MEISER - PLACE GENERAL MEISER (FACE 1 - 3) / GENERAAL MEISERPLEIN (TEGENOVER 1 - 3),50.854654,4.398451,TRUE,OPEN,Bruxelles-Capitale,25,19,6,2018-03-03T17:34:59+00:00
154,PLASKY/PLASKY,PLASKY - SQUARE EUGENE PLASKY (FACE 100) / EUGENE PLASKYSQUARE (TEGENOVER 100),50.851241,4.396386,TRUE,OPEN,Bruxelles-Capitale,25,12,13,2018-03-03T17:35:12+00:00
249,SAINT-JOB/SINT-JOB,SAINT-JOB/SINT JOB - PLACE SAINT JOB/SINT-JOB PLEIN,50.794186,4.366336,FALSE,OPEN,Bruxelles-Capitale,25,10,12,2018-03-03T17:35:28+00:00
20,PALAIS ROYAL / KONINKLIJK PALEIS,PALAIS ROYAL/KONINGSSTRAAT PALEIS - RUE ROYALE (DEVANT N??14)/KONINKLIJKESTRAAT (N??14),50.843613,4.360628,TRUE,OPEN,Bruxelles-Capitale,20,9,11,2018-03-03T17:34:50+00:00
6,GARE CENTRALE/CENTRAAL STATION,GARE CENTRALE/CENTRAAL STATION - BLD DE L'IMPERATRICE/KEIZERINLAAN,50.845333,4.356475,FALSE,OPEN,Bruxelles-Capitale,40,22,16,2018-03-03T17:35:04+00:00
271,DUBOIS,DUBOIS - BD EMILE MACHTENS/LAAN 102-104,50.851158,4.309591,FALSE,OPEN,Bruxelles-Capitale,25,14,11,2018-03-03T17:34:42+00:00
176,COLONEL BOURG/KOLONEL BOURG,COLONEL BOURG/KOLONEL BOURG - RUE COLONEL BOURG/ KOLONEL BOURGSTRAAT 104,50.852356,4.408635,FALSE,OPEN,Bruxelles-Capitale,25,12,13,2018-03-03T17:39:16+00:00
